frame,roi_px,total_px,roi_ratio_pct,full_base_psnr,full_adap_psnr,full_base_mse,full_adap_mse,roi_base_psnr,roi_adap_psnr,roi_base_mse,roi_adap_mse
0,0,2073600,0.0,inf,inf,0.0,0.0,,,,
10,72414,2073600,3.4921875,53.51665138290922,54.428383121541295,2.66499919234775e-05,2.1603489585686475e-05,50.615393373914365,70.16269346459647,5.197839709580876e-05,5.768898176938819e-07
20,76101,2073600,3.6699942129629632,55.05768053287842,57.121917363420465,1.4456235476245638e-05,8.987347428046633e-06,50.511088106565495,72.99283767278602,4.1182665881933644e-05,2.3256239956026548e-07
30,702165,2073600,33.862123842592595,55.973602584935016,52.40989991235657,9.679106369731016e-06,2.1989002561895177e-05,57.83009688921118,64.3365962840512,6.312273853836814e-06,1.411028847542184e-06
40,705668,2073600,34.03105709876543,55.890592138382715,48.22304789620465,9.3605312940781e-06,5.470851465361193e-05,57.51462154940593,60.54332538454962,6.4401733652630355e-06,3.206469955330249e-06
50,710417,2073600,34.26007908950617,55.55467680004938,46.40697651037086,9.98931864160113e-06,8.209295629058033e-05,57.36536915410558,59.90412280863626,6.583648428204469e-06,3.6693679703603266e-06
60,715569,2073600,34.50853587962963,55.56391445453525,45.66637833183482,9.886051884677727e-06,9.655538451625034e-05,57.262903923244565,60.33982075058316,6.6853467615146656e-06,3.29179101754562e-06
70,721281,2073600,34.783998842592595,55.84558964453406,45.32752530745849,9.409640369995032e-06,0.00010601796384435147,57.678492419740124,61.075042763741806,6.169965672597755e-06,2.822459464368876e-06
80,727678,2073600,35.09249614197531,55.25509760771306,45.04750098170539,1.0780086086015217e-05,0.0001130789823946543,57.382155628742055,61.58594755227074,6.605663202208234e-06,2.509211299184244e-06
90,734605,2073600,35.42655285493827,55.31345736546909,45.022411506615605,1.0690892850107048e-05,0.00011431903840275481,57.59065253823583,62.11187968785353,6.328407835098915e-06,2.234455678262748e-06
100,741568,2073600,35.76234567901235,54.92889165650058,44.84720821660608,1.174066164821852e-05,0.00011963573342654854,57.22740741468015,63.986987537758594,6.9157772486505564e-06,1.4584212522095186e-06
110,750314,2073600,36.184124228395056,54.35101525352418,44.71815571264962,1.3535228390537668e-05,0.00012438028352335095,56.10735913909281,63.1850199013434,9.032983143697493e-06,1.7703744106256636e-06
