frame,roi_px,total_px,roi_ratio_pct,full_base_psnr,full_adap_psnr,full_base_mse,full_adap_mse,roi_base_psnr,roi_adap_psnr,roi_base_mse,roi_adap_mse
0,0,2073600,0.0,inf,inf,0.0,0.0,,,,
10,705650,2073600,34.03018904320987,54.14912169984626,46.16236189322565,2.4004297301871702e-05,0.00015099583833944052,55.76689359918581,59.46678509511507,1.6539097487111576e-05,7.055416517687263e-06
20,89123,2073600,4.297984182098766,55.98917904963954,50.905388304761125,1.2071282071701717e-05,3.8916383346077055e-05,51.415813494854476,68.0416804676209,3.460110383457504e-05,7.524943725911726e-07
30,715657,2073600,34.51277970679013,55.85058177892875,49.21282139126948,1.0419566024211235e-05,4.804250784218311e-05,57.68799444462398,61.57870967379121,6.825089712947374e-06,2.7863575269293506e-06
40,721443,2073600,34.791811342592595,55.708840486156994,47.0889944449123,1.0002070666814689e-05,7.279046985786408e-05,57.53483898172934,62.06332410067417,6.568860953848343e-06,2.3154827886173734e-06
50,727822,2073600,35.09944058641975,55.50557364162379,46.033043834533906,1.0322809430363122e-05,9.142203634837642e-05,57.59010016181986,62.20286206459707,6.387710982380668e-06,2.20835590880597e-06
60,734671,2073600,35.42973572530864,55.809279760148776,45.53440265636003,9.556992154102772e-06,0.00010181433754041791,57.52942645205586,62.17894469467639,6.431415386032313e-06,2.2047265701985452e-06
70,741524,2073600,35.760223765432094,55.53515367411159,45.1652283139811,1.0273663065163419e-05,0.00011187108611920848,57.34981740171306,64.3882023745093,6.764862064301269e-06,1.337890125796548e-06
80,750290,2073600,36.18296682098766,55.33648713990661,44.79456333449059,1.079841695172945e-05,0.00012233549205120653,56.02197447590086,63.302822075137364,9.221707841788884e-06,1.7247517689611414e-06
90,759920,2073600,36.64737654320987,52.48979604356645,44.2410887135517,2.094665978802368e-05,0.00013995406334288418,55.74415706918237,62.82137446199529,9.900991244649049e-06,1.940693437063601e-06
100,770925,2073600,37.17809606481482,52.21259731796526,44.23885720792745,2.2327219994622283e-05,0.000140025993459858,52.86300259492143,59.49847990765525,1.9221803086111322e-05,4.171059572399827e-06
110,783335,2073600,37.77657214506173,52.09743198447821,44.669038778136,2.2973690647631884e-05,0.0001270779175683856,50.278945973914446,57.32612544945435,3.492041287245229e-05,6.892256351420656e-06
120,797483,2073600,38.45886381172839,50.2300084179339,44.71865505924299,3.5530927561922e-05,0.00012639848864637315,47.693255756024314,54.74559479550216,6.372088682837784e-05,1.2561685252876487e-05
130,813446,2073600,39.22868441358025,53.0076810840424,48.40878462219692,4.23137353209313e-05,0.00012200314085930586,49.7551408901612,56.02450645655277,8.948193863034248e-05,2.112510264851153e-05
140,831471,2073600,40.097945601851855,56.26573911510242,51.79124392505781,4.5792461605742574e-05,0.00012830497871618718,53.048118609979255,55.8631497010909,9.606297680875286e-05,5.024038182455115e-05
150,852869,2073600,41.129870756172835,48.759365482096364,45.44270802865996,5.040552423452027e-05,0.00010817922884598374,45.645147370187885,52.44205367250329,0.00010325235052732751,2.158784627681598e-05
160,877977,2073600,42.34071180555555,49.7421171498971,45.44371382460749,4.01575343857985e-05,0.00010804567136801779,46.82619521907074,52.09102215265928,7.858854223741218e-05,2.3381724531645887e-05
170,906535,2073600,43.71793016975309,49.002692005213035,45.744888951047436,4.765906123793684e-05,0.00010090804425999522,46.06224405908112,52.430712036262015,9.379728726344183e-05,2.1644296793965623e-05
180,939333,2073600,45.29962384259259,48.45559447971186,45.879963144505176,5.3948970162309706e-05,9.762168338056654e-05,45.64394417565829,51.84372647866434,0.0001030737766996026,2.4726916308281943e-05
190,243942,2073600,11.76417824074074,52.83650568328056,46.66221757566998,0.00010157684300793335,0.00042094322270713747,57.83916809642691,68.96845743549707,3.210173235856928e-05,2.4751386717980495e-06
200,184524,2073600,8.898726851851851,49.31151817900995,48.67190345363024,0.00012258262722752988,0.0001420333719579503,55.83411721709431,73.91074381773183,2.730040068854578e-05,4.2511493347774376e-07
210,217094,2073600,10.469425154320987,44.304197164550786,44.01432176425939,7.690867641940713e-05,8.22172369225882e-05,47.0453012901628,60.576003088643205,4.091333903488703e-05,1.8146578213418252e-06
220,302760,2073600,14.600694444444445,45.807049679108076,47.53332199274513,8.636125130578876e-05,5.8035227993968874e-05,45.83192806266118,67.20567784330056,8.586794865550473e-05,6.258296139094455e-07
230,210644,2073600,10.158371913580247,48.48314461796118,51.03666967169039,6.628890696447343e-05,3.6820387322222814e-05,47.87873557293107,63.95099395288178,7.618715608259663e-05,1.8821573348759557e-06
240,8374,2073600,0.40383873456790126,39.355113707089075,43.904993523350484,0.00025527263642288744,8.953983342507854e-05,35.08733401619033,48.72260860036558,0.0006819966365583241,2.952941031253431e-05
250,8989,2073600,0.4334972993827161,51.11230196314394,55.029420192058254,8.706218068255112e-06,3.532789150995086e-06,48.00785527337803,58.23783216064491,1.7794025552575476e-05,1.68762721841631e-06
260,627800,2073600,30.2758487654321,53.151615130088395,50.275622980134514,5.403723207564326e-06,1.0478335752850398e-05,48.9581774171078,54.90478885908861,1.419177988282172e-05,3.608907263696892e-06
270,627209,2073600,30.247347608024693,53.99313813676787,43.25008653981392,4.55947156297043e-06,5.410279118223116e-05,49.720626603761346,57.734430944125535,1.2194546798127703e-05,1.926571940202848e-06
280,626471,2073600,30.211757330246915,60.929584421225016,48.47713987099273,5.365985543903662e-06,9.438303823117167e-05,56.627143726226414,63.428407858742084,1.4450855815084651e-05,3.018333018189878e-06
290,625514,2073600,30.16560570987654,56.708379285870556,39.89273936491883,2.4982832655950915e-06,0.00012000674905721098,52.550614500682336,61.08708108599921,6.507559646706795e-06,9.115311172536167e-07
300,624337,2073600,30.108844521604937,57.12261503856121,39.68207781319272,2.4082960408122744e-06,0.00013358681462705135,52.958800484223296,61.95956343077226,6.281904461502563e-06,7.907059966782981e-07
310,624293,2073600,30.106722608024693,56.92272182864407,39.69927270231927,2.5527699563099304e-06,0.0001346965873381123,52.393135583262655,62.106527945234134,7.243864274641965e-06,7.738041745142255e-07
320,623415,2073600,30.064380787037038,58.16687787092957,39.622369690203215,1.8737171103566652e-06,0.0001340154412901029,53.26067951837244,52.91000756192215,5.7986094361694995e-06,6.286241386987967e-06
330,623340,2073600,30.060763888888886,57.249062233881276,39.78342674232255,2.3845082068874035e-06,0.00013303391460794955,52.293027374649306,52.041771999276236,7.464527243428165e-06,7.909114174253773e-06
340,623244,2073600,30.05613425925926,57.36463076562151,39.85978266940802,2.2857539079268463e-06,0.0001286809565499425,52.445631683966596,53.17842317363039,7.094623924785992e-06,5.993082140776096e-06
350,623124,2073600,30.050347222222225,56.90407029193538,40.19055112851451,2.658410721778637e-06,0.000124730882816948,51.97065814714541,54.5357902383991,8.27872190711787e-06,4.586169325193623e-06
360,623001,2073600,30.04441550925926,57.090233025388216,40.473793317923054,2.656962578839739e-06,0.00012190721463412046,52.18119194164612,55.93418165644187,8.22791025711922e-06,3.467293254288961e-06
370,622957,2073600,30.042293595679016,59.249893026227724,40.373995899541974,1.556918959977338e-06,0.000120186508866027,54.41783243795949,57.142602382519414,4.73665841127513e-06,2.5292692953371443e-06
380,622908,2073600,30.039930555555554,58.67000954088819,40.487964077179484,1.7975861510421964e-06,0.00011827535490738228,53.74603804522824,57.47131200167017,5.5858190535218455e-06,2.368969489907613e-06
390,622890,2073600,30.039062500000004,58.213420757692376,40.297059727419054,1.8898496136898757e-06,0.00011696699948515743,53.292011908209716,56.92814681773481,5.869054348295322e-06,2.540707328080316e-06
400,622866,2073600,30.03790509259259,58.65073865431679,39.1278137377235,1.2972460581295309e-06,0.00011622909369179979,53.995171867456556,56.44710642486486,3.7894749311817577e-06,2.154693902411964e-06
410,622836,2073600,30.036458333333332,58.06939448985001,39.04188790148102,1.4623323068008176e-06,0.0001168952148873359,53.40757046150338,56.39712852872095,4.277878815628355e-06,2.149179408661439e-06
420,622796,2073600,30.03452932098765,57.92289802521903,38.879938287172266,1.4912200185790425e-06,0.00011962933785980567,53.41032262965321,56.718995977291875,4.215016360831214e-06,1.967577873074333e-06
430,895,2073600,0.0431616512345679,53.46229353418232,43.4392848406634,4.194542725599604e-06,4.216824163449928e-05,38.55592938002805,42.898933877747794,0.0001298138522543013,4.775519118993543e-05
440,30826,2073600,1.4865933641975309,55.26204849106723,50.19295748464286,3.689817958729691e-06,1.185534074465977e-05,55.61002762249192,58.528565149156286,3.405705001569004e-06,1.7392150084560853e-06
450,90329,2073600,4.356143904320987,55.4404834376932,54.76507189568986,3.6099600038141944e-06,4.217387868266087e-06,58.27924681999093,62.20729196322773,1.877699332908378e-06,7.600139042551746e-07
460,133843,2073600,6.454619984567901,47.884655185924174,47.932605042482464,2.0562940335366875e-05,2.0337156456662342e-05,55.716511580791675,63.340506062842906,3.387658125575399e-06,5.854639084645896e-07
470,117929,2073600,5.687162422839506,53.52363241920595,53.59662202868155,5.603153567790287e-06,5.509771199285751e-06,56.63962121445834,67.10200966142813,2.7342211978975683e-06,2.4580731405876577e-07
480,113663,2073600,5.481433256172839,58.01424927516936,57.55931184843603,1.9923738818761194e-06,2.2124047518445877e-06,58.10030318246855,67.26662379644168,1.95328425434127e-06,2.3666464699090284e-07
490,113663,2073600,5.481433256172839,59.70318935445731,57.23266704541309,1.3622133110402501e-06,2.4060095711320173e-06,63.39132289777629,71.00029178661693,5.826822189192171e-07,1.0104966463586607e-07
500,113663,2073600,5.481433256172839,60.67968786863585,58.09515169007442,1.0935746104223654e-06,1.9829055872833123e-06,65.17025232903906,70.09085950052952,3.8885883668626775e-07,1.2523659620455874e-07
510,113663,2073600,5.481433256172839,60.538574060889594,58.29224691811284,1.133596924773883e-06,1.9014782992599066e-06,65.84878081208996,70.91677858168308,3.3376284136465983e-07,1.039054211560142e-07
520,113663,2073600,5.481433256172839,60.5934327769189,58.46815148055609,1.1232309589104261e-06,1.8323025869904086e-06,66.18401809638853,71.68310848654143,3.1003486355984933e-07,8.73979999482799e-08
530,113663,2073600,5.481433256172839,62.081338871535365,59.26234156871032,7.974040840963426e-07,1.5260831105479156e-06,66.75916411944156,70.37722159363325,2.7157884119333175e-07,1.1805657607055764e-07
540,113663,2073600,5.481433256172839,60.83202215867421,58.39213458009834,1.0650188642102876e-06,1.8678674678085372e-06,66.11979419668563,71.55063937381829,3.1519556387138437e-07,9.026005187706687e-08
550,113663,2073600,5.481433256172839,60.63560197282505,58.187376535312374,1.114292786041915e-06,1.958041366378893e-06,66.43579556929102,71.0614317355493,2.9307580007298384e-07,1.0102208847229122e-07
560,113663,2073600,5.481433256172839,60.542161125012875,58.362332485672574,1.1385271818653564e-06,1.8807292008204968e-06,66.81747042574295,71.09695377361143,2.684185176349274e-07,1.0019917340287066e-07
570,113663,2073600,5.481433256172839,60.295777177188754,58.261119845584744,1.2049854376527946e-06,1.925074457176379e-06,65.74547396820506,71.68644938471283,3.4356753531028517e-07,8.748116897550062e-08
580,113663,2073600,5.481433256172839,60.64517337446084,58.51277478133332,1.1137525461890618e-06,1.8198205680164392e-06,65.7438230072093,71.68887091449551,3.4428947515152686e-07,8.758282632470582e-08
590,113663,2073600,5.481433256172839,61.1336396815348,58.8833348117464,9.952726713891025e-07,1.6709850569895934e-06,65.74112743132277,71.22336219715768,3.4450323482815293e-07,9.749219032073597e-08
