frame,roi_px,total_px,roi_ratio_pct,full_base_psnr,full_adap_psnr,full_base_mse,full_adap_mse,roi_base_psnr,roi_adap_psnr,roi_base_mse,roi_adap_mse
0,697695,2073600,33.64655671296296,24.639493417317833,24.572255320424393,0.06885571032762527,0.06993003934621811,33.37232379384278,38.47186272710453,0.0092184292152524,0.0028490694239735603
10,84404,2073600,4.070408950617284,34.979294954807465,35.00677635394425,0.001924295094795525,0.0019121569348499179,51.242565086666296,59.695141735608516,4.5493008656194434e-05,6.496612968476256e-06
20,89123,2073600,4.297984182098766,39.29452577485297,39.35101358569184,0.0005549030029214919,0.0005477322265505791,51.246562104547465,66.59424345678859,3.540082980180159e-05,1.0333449154131813e-06
30,715657,2073600,34.51277970679013,43.121101711933896,42.64609657124875,0.00019344176689628512,0.0002157996641471982,43.35791673469658,43.78167571544574,0.00018317607464268804,0.00016614713240414858
40,721443,2073600,34.791811342592595,47.588064755379534,44.95715206381693,6.462602323153988e-05,0.00011844008258776739,46.98579771433422,47.386451769998324,7.423934584949166e-05,6.769689207430929e-05
50,727822,2073600,35.09944058641975,51.56643176184122,45.72251113669768,2.5725606974447146e-05,9.880017023533583e-05,50.92570140145143,51.54342357381943,2.981526449730154e-05,2.586225855338853e-05
60,734671,2073600,35.42973572530864,54.2447252340864,45.655931620717176,1.3743875570071395e-05,9.93089925032109e-05,53.98378780984161,55.36367911256341,1.4594961612601765e-05,1.062218416336691e-05
70,741524,2073600,35.760223765432094,54.79258690278616,45.265750505926825,1.2114989658584818e-05,0.0001086442352971062,56.154796487679405,59.80202077439988,8.853236977302004e-06,3.822783128271112e-06
80,750290,2073600,36.18296682098766,55.21308736136505,45.031651507943344,1.1120941053377464e-05,0.00011595383693929762,55.76576645851503,62.8637657501402,9.792050150281284e-06,1.9101773887086893e-06
90,759920,2073600,36.64737654320987,52.97228906819094,44.42853307277848,1.880115451058373e-05,0.0001344497868558392,55.622166733444594,62.92465147581196,1.0214021131105255e-05,1.9008518847840605e-06
100,770925,2073600,37.17809606481482,50.75810586702072,44.36151771258727,3.1526287784799933e-05,0.0001375091669615358,51.62608946933632,56.121051113092804,2.5815139451879077e-05,9.170189514406957e-06
110,783335,2073600,37.77657214506173,50.591469107570425,44.6873023677599,3.272642788942903e-05,0.00012744279229082167,48.612683641506955,55.44165827132974,5.161514491192065e-05,1.0712225048337132e-05
120,797483,2073600,38.45886381172839,50.154575949459655,44.55986804654859,3.6372675822349265e-05,0.0001319003786193207,47.33906554831718,54.37178880923253,6.955466960789636e-05,1.377380613121204e-05
130,813446,2073600,39.22868441358025,48.786452579911376,44.980221298388585,4.994143091607839e-05,0.00011997316323686391,45.473875527872536,53.88647615404609,0.00010708254558267072,1.5433293810929172e-05
140,831471,2073600,40.097945601851855,49.19799779482317,45.13330064829097,4.5380562369246036e-05,0.00011570165952434763,46.072424323456474,54.055190319055995,9.320242679677904e-05,1.4830323380010668e-05
150,852869,2073600,41.129870756172835,52.12453670553178,47.701823809763624,4.001491470262408e-05,0.0001107881180359982,49.255976791387084,55.00361309439703,7.746007031528279e-05,2.0621215298888274e-05
160,877977,2073600,42.34071180555555,48.79638766301606,45.47938032976156,4.972720853402279e-05,0.00010673204087652266,45.68012781742675,52.20144665114964,0.00010191076580667868,2.2703257855027914e-05
170,906535,2073600,43.71793016975309,49.061742241919895,45.76088436882779,4.6873999963281676e-05,0.0001002346325549297,46.110007258524575,52.78293128136724,9.249228605767712e-05,1.98981688299682e-05
180,939333,2073600,45.29962384259259,47.224702147992005,45.818437524372186,7.141059177229181e-05,9.871635120362043e-05,44.26365393727192,51.37329764844175,0.00014121065032668412,2.7472809961182065e-05
190,243942,2073600,11.76417824074074,47.40295702002104,46.15414584733671,8.983568841358647e-05,0.00011976502719335258,51.72496816428109,63.12910615095944,3.320838732179254e-05,2.403443886578316e-06
200,184524,2073600,8.898726851851851,44.18082996083648,43.87406796854605,0.00012748663721140474,0.00013681725249625742,51.01873943790185,67.57285694387703,2.640424281707965e-05,5.83797145736753e-07
210,217094,2073600,10.469425154320987,44.486616435554545,43.90587675199208,7.374514098046347e-05,8.4296079876367e-05,46.71626329105253,61.25691626162077,4.413353599375114e-05,1.5513272728640004e-06
220,302760,2073600,14.600694444444445,47.57113055665786,44.185059462051996,8.16314059193246e-05,0.0001780181919457391,49.100258744471255,69.2113119813001,5.740430424339138e-05,5.59550301204581e-07
230,210644,2073600,10.158371913580247,54.55544895458101,52.67619908603599,6.946801295271143e-05,0.00010708037007134408,54.61387878962398,70.39987077379293,6.853965169284493e-05,1.8086007003148552e-06
240,8374,2073600,0.40383873456790126,39.62791441386041,44.14587744314591,0.0002512288047000766,8.877141226548702e-05,35.622743039535486,48.66757979521162,0.0006318101077340543,3.134028156637214e-05
250,8989,2073600,0.4334972993827161,38.57095864314417,54.73191593643303,0.0001743536558933556,4.220222308504162e-06,48.903408659015454,58.12549745544664,1.6150503142853267e-05,1.9318667909828946e-06
260,627800,2073600,30.2758487654321,42.69714458725056,54.36678622268979,0.00015623348008375615,1.0636774277372751e-05,37.534069718043234,57.77739895858502,0.0005129577475599945,4.850077402807074e-06
270,627209,2073600,30.247347608024693,43.7643263976915,44.27617076251221,6.103764462750405e-05,5.425169729278423e-05,38.632151826240666,58.21445897319975,0.00019898265600204468,2.190708073612768e-06
280,626471,2073600,30.211757330246915,54.94875567567809,41.638635733102724,4.3942727643297985e-06,9.416705870535225e-05,50.92463266831991,60.300526451827594,1.1099395123892464e-05,1.2814743968192488e-06
290,625514,2073600,30.16560570987654,54.32111235791552,40.29991162720822,4.7528410505037755e-06,0.00011997019464615732,49.671504274194085,61.29016634667959,1.386481562803965e-05,9.550979029882e-07
300,624337,2073600,30.108844521604937,57.17463352735042,39.691575519599176,2.3712873371550813e-06,0.00013282810687087476,53.02423048243692,61.989353188783085,6.1662976804655045e-06,7.825502166269871e-07
310,624293,2073600,30.106722608024693,57.21538866126535,39.82184253481014,2.453393335599685e-06,0.00013462378410622478,52.72615223097225,62.279088677437656,6.89748594595585e-06,7.645346613571746e-07
320,623415,2073600,30.064380787037038,58.38421950828776,39.713818906094424,1.8233158698421903e-06,0.0001342461910098791,53.50587558536024,53.14297118871906,5.606557806459023e-06,6.095182925491827e-06
330,623340,2073600,30.060763888888886,57.867395225139646,39.872909582006194,2.1005112103011925e-06,0.00013236512313596904,52.94508973649382,52.246012023369076,6.524624950543512e-06,7.664138138352428e-06
340,623244,2073600,30.05613425925926,57.669842513212764,40.36798882937055,2.383792434557108e-06,0.0001280718861380592,52.74464633996678,53.77325775006939,7.409485533571569e-06,5.846916792506818e-06
350,623124,2073600,30.050347222222225,59.38210550672301,42.98876749759154,2.857061645045178e-06,0.0001245241001015529,54.42061202802664,57.27371632713853,8.955069461080711e-06,4.6425707296293695e-06
360,623001,2073600,30.04441550925926,57.20724650292205,40.46754947615462,2.5776737402338767e-06,0.00012167396198492497,52.28120223717291,55.90890604389486,8.013686965568922e-06,3.4758577385218814e-06
370,622957,2073600,30.042293595679016,59.17619079993459,40.323940022582725,1.564706394674431e-06,0.00012013178638881072,54.333566747199015,57.07624912629929,4.771943167725112e-06,2.5376225494255777e-06
380,622908,2073600,30.039930555555554,58.60448950715628,40.56354784456989,1.8529025282987277e-06,0.0001180175895569846,53.67209070423102,57.485270728927674,5.768892606283771e-06,2.3975874228199245e-06
390,622890,2073600,30.039062500000004,58.063351674472045,40.211080169416476,1.9189189970347797e-06,0.0001170263858512044,53.166007631924224,56.701027714058114,5.926401172473561e-06,2.625965635161265e-06
400,622866,2073600,30.03790509259259,58.74238015287059,39.16550177080005,1.2778032214555424e-06,0.00011591825023060665,54.07068725651296,56.52509079832263,3.746564971152111e-06,2.129084577973117e-06
410,622836,2073600,30.036458333333332,58.37220019885946,39.11371117753232,1.3887186014471808e-06,0.00011707472731359303,53.71629768689202,56.4172744813865,4.056995294376975e-06,2.178245495088049e-06
420,622796,2073600,30.03452932098765,58.092986966942604,38.86163697260416,1.4310345477497322e-06,0.00011989059566985816,53.596772277633946,56.63879076761244,4.029689534945646e-06,2.0001830307592172e-06
