frame,roi_px,total_px,roi_ratio_pct,full_base_psnr,full_adap_psnr,full_base_mse,full_adap_mse,roi_base_psnr,roi_adap_psnr,roi_base_mse,roi_adap_mse
0,626559,2073600,30.21600115740741,37.84530335114314,34.285846250491694,0.00041767850052565336,0.0009479552390985191,35.934219827263476,36.605922618764524,0.0006485604681074619,0.0005556229734793305
10,8263,2073600,0.39848572530864196,50.64353951244751,40.495367442639385,2.2714761144015938e-05,0.00023503112606704235,42.71903806998985,38.25609541364875,0.0001408504758728668,0.0003935977292712778
20,8486,2073600,0.40923996913580246,54.340681989165596,40.93400982601012,9.707700883154757e-06,0.00021270789147820324,43.89383015171851,39.293979547935116,0.00010759734868770465,0.0003103034687228501
30,626402,2073600,30.20842978395062,55.78046791644391,41.41391557666079,7.145579729694873e-06,0.0001952957100002095,57.50240369676655,47.97265795813166,4.806665401702048e-06,4.313387398724444e-05
40,625502,2073600,30.16502700617284,55.58312728793575,41.462080924231984,7.222430213005282e-06,0.00018654688028618693,57.792174857919896,49.713888275798354,4.342887677921681e-06,2.7900196073460393e-05
50,625458,2073600,30.16290509259259,55.776377453144484,42.01607877249944,7.583339993288973e-06,0.0001802562765078619,58.58175868650913,51.58369335960209,3.974865194322774e-06,1.9912644347641617e-05
60,625444,2073600,30.162229938271608,55.84644268030178,42.166698113462374,7.548293524450855e-06,0.00017612590454518795,58.790119988540674,53.62451643842369,3.832490165223135e-06,1.2590454389282968e-05
70,625426,2073600,30.161361882716047,56.15679916460536,42.27002167628348,7.011589332250878e-06,0.0001715908874757588,58.737001056862034,55.27680241034276,3.870760338031687e-06,8.586499461671337e-06
80,625372,2073600,30.158757716049383,55.307119987893515,42.19555305564698,8.565970347262919e-06,0.00017536109953653067,58.88039457539026,56.49001153911154,3.7622626223310363e-06,6.523601314256666e-06
90,625302,2073600,30.155381944444443,55.75319574618585,42.378885457223845,7.97072789282538e-06,0.00017335206212010235,58.73629613395494,57.51471778074092,4.010402335552499e-06,5.3130729611439165e-06
100,624374,2073600,30.11062885802469,56.07088217571001,42.352511163501546,7.585020284750499e-06,0.00017856397607829422,58.7205096814062,60.14448672230798,4.120918219996383e-06,2.9689049370063003e-06
110,624358,2073600,30.10985725308642,56.18718937404128,42.36822451704952,7.683928743063007e-06,0.00018513128452468663,57.1531294057464,60.80493386475736,6.151617526484188e-06,2.6534376047493424e-06
120,624290,2073600,30.106577932098766,55.20573322692303,42.43753087656045,1.0101036423293408e-05,0.00019106721447315067,57.16884391727113,60.571377575657536,6.427689186239149e-06,2.936307282652706e-06
130,624315,2073600,30.107783564814817,56.45937187827363,42.27414802507748,7.479776286345441e-06,0.00019606993009801954,56.213599829764505,60.5273018330424,7.915271453384776e-06,2.931538574557635e-06
140,624338,2073600,30.10889274691358,44.28469389104575,42.46159107434036,0.00013189953460823745,0.00020070285245310515,39.247636334904136,60.31548751443914,0.0004206772428005934,3.289757614766131e-06
150,624372,2073600,30.11053240740741,54.254292147903314,42.549100695107,1.3868230780644808e-05,0.00020537151431199163,51.12174763799804,60.15276851936525,2.852827492461074e-05,3.565935003280174e-06
160,624410,2073600,30.1123649691358,54.7753518535866,42.677515525160146,1.2767141015501693e-05,0.00020695565035566688,51.361988260612094,60.964317930288885,2.801754089887254e-05,3.070414777539554e-06
170,624414,2073600,30.11255787037037,54.8424290346523,42.81684359638326,1.3296413271746133e-05,0.00021197910245973617,51.3162863271876,61.08377518939069,2.994668648170773e-05,3.159365633109701e-06
180,624444,2073600,30.114004629629633,55.21952997025255,42.99385666901073,1.293469267693581e-05,0.0002159352006856352,51.70342962615143,60.60700682987266,2.9064720365568064e-05,3.741178488780861e-06
190,624468,2073600,30.115162037037035,54.280821455302856,43.200446226328914,1.7193857274833135e-05,0.00022050114057492465,50.292266864611065,60.53964066186167,4.307534618419595e-05,4.069034730491694e-06
200,624514,2073600,30.117380401234566,53.968484495565235,43.200357881894035,1.9120323486276902e-05,0.00022819593141321093,49.90599425610511,61.41792447681661,4.872414865531027e-05,3.4399429296172457e-06
210,624548,2073600,30.119020061728396,50.537442379896866,43.3133048348812,4.4499578507384285e-05,0.00023483869154006243,45.764355695537475,59.82107514990908,0.00013355635746847838,5.247985427558888e-06
220,624576,2073600,30.12037037037037,49.51621415742868,43.439145060752736,5.9677160606952384e-05,0.00024183272034861147,44.58185661240405,59.183835188817625,0.00018588481179904193,6.442375706683379e-06
230,43050,2073600,2.076099537037037,56.5485950515776,43.974624450739405,1.3216461411502678e-05,0.00023906293790787458,48.98443210281752,52.214461379367556,7.542780804214999e-05,3.5853252484230325e-05
240,52682,2073600,2.540605709876543,58.40597409012353,43.929573177225826,9.277096069126856e-06,0.0002600471780169755,50.05932149619257,53.67339771668007,6.339825631584972e-05,2.7584790586843155e-05
250,52503,2073600,2.5319733796296298,60.1734041630463,43.78881324963796,6.146943178464426e-06,0.00026737345615401864,48.99501497932373,55.21535412635046,8.063027053140104e-05,1.925148353620898e-05
260,52099,2073600,2.5124903549382718,60.582477106250806,43.67594547213287,5.474073532241164e-06,0.000268512056209147,50.021670162101834,55.575962149471074,6.228612619452178e-05,1.733652788971085e-05
270,51324,2073600,2.4751157407407405,60.53915824132541,43.80504038016153,5.641736606776249e-06,0.0002659650635905564,50.10993727186086,56.35066810996009,6.227803532965481e-05,1.4800003555137664e-05
280,50310,2073600,2.4262152777777777,60.42087569160092,43.761208703074324,5.690475518349558e-06,0.00026370311388745904,49.93827727809342,56.262489367339526,6.359286635415629e-05,1.4824743630015291e-05
290,49072,2073600,2.3665123456790123,59.37653029531302,43.81478536831545,7.226122306747129e-06,0.0002600637380965054,49.46513426986493,56.121790315237945,7.080189971020445e-05,1.5289007933461107e-05
300,47610,2073600,2.2960069444444446,59.31211876137853,43.698340680922676,7.163340796978446e-06,0.0002609116199892014,49.45855857045564,55.66530197707448,6.925826892256737e-05,1.6588124708505347e-05
310,45963,2073600,2.216579861111111,58.61548574523131,43.60336183895864,8.264164534921292e-06,0.0002620664017740637,49.1956283430296,55.37315864335257,7.230772462207824e-05,1.743538996379357e-05
320,44233,2073600,2.133150077160494,58.17757441353788,43.72744061364888,9.140923793893307e-06,0.00025468505918979645,46.6033016788401,54.874961706742326,0.0001313461543759331,1.9554709069780074e-05
330,42829,2073600,2.0654417438271606,58.44484796498516,43.695245070161484,8.377566700801253e-06,0.0002500795526430011,46.2798182227592,52.40675216615528,0.00013791797391604632,3.3645537769189104e-05
340,40970,2073600,1.9757908950617284,58.17352889523478,43.65166591744491,8.788553714111913e-06,0.00024894517264328897,45.780966618150636,52.09307896362803,0.00015246622206177562,3.564202779671177e-05
350,39073,2073600,1.884307484567901,57.55632189251035,43.45754302548323,9.93396133708302e-06,0.00025527033722028136,47.03100692905306,51.315046168275146,0.00011211248056497425,4.180709947831929e-05
360,37208,2073600,1.7943672839506173,57.84218686380968,43.363700487731435,9.209724339598324e-06,0.00025828267098404467,46.79349294151769,50.86034959447203,0.00011725085641955957,4.596532744471915e-05
370,39073,2073600,1.884307484567901,56.6473842631398,43.44593913599246,1.273399993806379e-05,0.00026613951195031404,46.462215861205,50.4329553166869,0.00013288675108924508,5.326080645318143e-05
380,40970,2073600,1.9757908950617284,56.8430425391164,43.550051628641185,1.2173039067420177e-05,0.00025983527302742004,47.25353859791042,50.24143868266728,0.00011075144720962271,5.566207619267516e-05
390,42829,2073600,2.0654417438271606,57.880011607024294,43.695803554970965,9.742436304804869e-06,0.00025532208383083344,47.434976116343854,50.113563444958245,0.00010793719411594793,5.8252207963960245e-05
400,44233,2073600,2.133150077160494,58.01235125077394,43.676206367980974,9.450039215153083e-06,0.0002564768074080348,50.14530661881481,51.10438166417972,5.782798689324409e-05,4.636930316337384e-05
410,45963,2073600,2.216579861111111,57.41030856192267,43.665068196743164,1.0855201253434643e-05,0.0002571354270912707,49.322772272246034,51.499379428451604,6.988621316850185e-05,4.233804429532029e-05
420,47610,2073600,2.2960069444444446,58.7879014882411,43.693468564382954,7.828994966985192e-06,0.00025301676942035556,49.13970495033883,52.035820180347685,7.219808321679011e-05,3.7060744944028556e-05
430,49072,2073600,2.3665123456790123,59.96438963238486,43.83369709956679,6.331030817818828e-06,0.00025974289746955037,49.57794993890695,52.275221503834295,6.92019602865912e-05,3.718700827448629e-05
