frame,mse,psnr
0,0.00041767841362008,41.8716743226048
10,2.271475595416969e-05,54.517013878324164
20,9.707701275098318e-06,58.20893059199762
30,7.145577258863505e-06,59.539721437461594
40,7.222441012113318e-06,59.493254594623004
50,7.583340616012136e-06,59.28148899627654
60,7.548292892380108e-06,59.30160719460222
70,7.011588558207844e-06,59.62193039317768
80,8.565971476365034e-06,58.75232839061468
90,7.970721440278607e-06,59.06511831248153
100,7.585014860147948e-06,59.28053027007365
110,7.683927964116351e-06,59.22426178225881
120,1.0101030308120514e-05,58.0364378876764
130,7.479775048384669e-06,59.34120926170639
140,0.00013189946098063658,46.87766442211671
150,1.386823350286444e-05,56.659883176079234
160,1.2767145378107984e-05,57.01915659301997
170,1.3296422125646745e-05,56.8427466863621
180,1.2934690809734816e-05,56.96253411156091
190,1.7193866937418402e-05,55.726359015477314
200,1.912032404655108e-05,55.26514214658482
210,4.4499568039242964e-05,51.59653667705854
220,5.967716150126896e-05,50.3220130490741
230,1.3216462698044689e-05,56.868942284237
240,9.277095895312312e-06,58.40597417149241
250,6.1469444422503554e-06,60.19350175109661
260,5.474072914458466e-06,60.69698885077201
270,5.641737683623355e-06,60.565965735014174
280,5.69047795744218e-06,60.52860717572805
290,7.226120969565351e-06,59.49104235336101
MEAN,0.000030,56.985
MIN,0.000005,41.872
MAX,0.000418,60.697
